video_id,duration,duration_seconds
RrhSJzM8NLE,PT6M35S,395.0
0gwkMY-mzUQ,PT31S,31.0
UwdLlnPaRAU,PT7M15S,435.0
ve3oQBjcAGI,PT15M16S,916.0
C4YNcqNF4hg,PT5M18S,318.0
k1cA-Wh3Tc0,PT20M27S,1227.0
TN5jzDgORqQ,PT1M51S,111.0
9Ca8zWJOlFQ,PT15M55S,955.0
4SANXNco_y4,PT3M23S,203.0
-oXybog2IuI,PT6M51S,411.0
oRF2-ZloSqg,PT5M9S,309.0
lzgQrHFDNLE,PT3M31S,211.0
0ANDjPQPS_Q,PT12M34S,754.0
4ftGS_6i7mM,PT53S,53.0
Jidk0O6uu-0,PT3M1S,181.0
64IIfxDrhJY,PT2M17S,137.0
yxFdue1dCtE,PT23M2S,1382.0
ryqZUqgjvW8,PT10M57S,657.0
I-5CODzeGEE,PT12M20S,740.0
FEjZiCPuvqQ,PT2M39S,159.0
ENr6CXm1YxU,PT3M14S,194.0
R9c-_neaxeU,PT13M59S,839.0
iyrefjMs64k,PT18M9S,1089.0
N0tmF4j4K6g,PT3M20S,200.0
SFdO-19Xdho,PT3M44S,224.0
qK8AcryiniI,PT30S,30.0
KLZl_sxSN_g,PT2M39S,159.0
QKwgif8OW1w,PT40S,40.0
-JVITToppE0,PT14M30S,870.0
sH0Agabp3Rs,PT2M13S,133.0
eijd-yjXY9E,PT4M11S,251.0
fGTfbMioezc,PT45S,45.0
8tbQHHso0oY,PT33S,33.0
G8gJ4RTBxcg,PT35S,35.0
fRj34o4hN4I,PT55S,55.0
coOKvrsmQiI,PT2M33S,153.0
p8XP7A7kvzM,PT8M44S,524.0
pOEzjT-SED0,PT3M38S,218.0
p9wE8dyzEJE,PT2M15S,135.0
duRDizP0gHQ,PT22M10S,1330.0
0O2IAz1E9Ts,PT10M57S,657.0
TyHvyGVs42U,PT3M31S,211.0
16W7c0mb-rE,PT7M31S,451.0
nRafaCcfrcI,PT7M28S,448.0
t1shnJT8NCY,PT6M34S,394.0
ixxR3ZoqnF0,PT1M,60.0
lJFqvRwOiis,PT7M59S,479.0
9PhM-zCmTFs,PT2M26S,146.0
vKbyfdJXoDg,PT9M29S,569.0
Lxet1zLBTM8,PT7M26S,446.0
TWpt-ze_cYU,PT3M17S,197.0
l3xmc0pzzJI,PT11M33S,693.0
eDelIZDzmwQ,PT4M24S,264.0
t1Liix4gi7k,PT5M7S,307.0
DhwwTxTh5To,PT6M48S,408.0
mZpGOQ7tBKE,PT7M19S,439.0
CziCidR4KcY,PT4M2S,242.0
FHl0nIdbiLA,PT4M40S,280.0
MMGrzOu1amQ,PT15M57S,957.0
8KT1UCsOE74,PT12M53S,773.0
U5sCjnezw4o,PT5M47S,347.0
mjBIsBPG1N8,PT6M40S,400.0
oMupq6zB1Tc,PT3M11S,191.0
Y2-JjnW3w2g,PT43M11S,2591.0
PHWAZNkqwN4,PT5M6S,306.0
UuCq8mtK8J4,PT3M58S,238.0
5UL5wZJPLEg,PT1M28S,88.0
9pbCuFxRuqs,PT9M33S,573.0
hXcoq5XDwyA,PT10M54S,654.0
i9EyFghIt5o,PT9M13S,553.0
PGWBA_OzCE4,PT45M24S,2724.0
uN9zBcweN4M,PT2M58S,178.0
Mmkf4zYlW4E,PT10M29S,629.0
L9eFkmjIIWA,PT4M20S,260.0
YjBB89qsupM,PT2M53S,173.0
IKuKZIISPE0,PT2M11S,131.0
svZScJMh4Pg,PT1M52S,112.0
KOUxLhYVgGw,PT55S,55.0
9WT7NU3Rwr0,PT3M29S,209.0
Qj7DVNDb7To,PT10M1S,601.0
6j-s9E3dRQ0,PT2M24S,144.0
dnA3Cd5xG5A,PT5M13S,313.0
LduRwIc7eBA,PT3M32S,212.0
VSVXhc5LlII,PT10M12S,612.0
rRsstfoKQeo,PT30S,30.0
DVAMKnfrQBk,PT6M26S,386.0
x-uBFJLY8Ow,PT5M44S,344.0
qrPPj3e2M-M,PT4M26S,266.0
QiIlcKiREUU,PT6M18S,378.0
eOQpjvnm4ME,PT11M9S,669.0
w8vsuOXZBXc,PT3M56S,236.0
5HOijUtExiM,PT5M37S,337.0
asu37n6sEBY,PT3M16S,196.0
ZpS-w6BxN-U,PT8M31S,511.0
Qf1xyI_iKWA,PT6M21S,381.0
6uJf2IT2Zh8,PT3M50S,230.0
i9GSF3ROa58,PT2M56S,176.0
BQ_0QLL2gqI,PT3M3S,183.0
qS6LoRYUdhw,PT4M18S,258.0
mNhxFzR25Rs,PT3M42S,222.0
djlaHJCXT4o,PT12S,12.0
8-u5nd2GqNE,PT5M12S,312.0
88kkrRv1UgI,PT6M3S,363.0
kz3MEd1Jr0Q,PT3M26S,206.0
By6Mi7VlqcU,PT59S,59.0
dcipHnWcB0w,PT1M5S,65.0
6GT7PrIIS5I,PT3M10S,190.0
2r_nGjgqPE0,PT3M22S,202.0
VNqrILFD5h0,PT1M37S,97.0
Pubtjn5QIjg,PT6M53S,413.0
gk05IMU2RrU,PT9M47S,587.0
S_5TyDFx6kc,PT9M32S,572.0
pvg2cw5oshg,PT3M19S,199.0
mHaJ8xsWD3s,PT9M10S,550.0
FKA-Jy6nuE0,PT5M57S,357.0
pQXwQVaQmGk,PT3M32S,212.0
KhxqJzr6FAE,PT1M33S,93.0
tG4Fbj1B1bY,PT2M1S,121.0
TsYGNNPQ3ZU,PT2M55S,175.0
GIn4CeZq7Nw,PT2M,120.0
szs2GAYwMHo,PT1M1S,61.0
AJkOHavUH_A,PT4M28S,268.0
kOCkne-Bku4,PT3M37S,217.0
OlJykKOuank,PT7M57S,477.0
K6xwB8Kkce0,PT2M58S,178.0
AJ2xkh-6tL4,PT19M2S,1142.0
Gnxv9OH-giQ,PT16M5S,965.0
qqs3fxfmWr4,PT3M4S,184.0
77McSTzTgg8,PT36M17S,2177.0
W8vXDp7NuFs,PT2M15S,135.0
C_SJgw5MVFY,PT3M26S,206.0
P7zi6oQ4fPQ,PT1M17S,77.0
7xhxjcejONk,PT1M53S,113.0
QJfL0a3qEKw,PT4M47S,287.0
ZJDMWVZta3M,PT53S,53.0
cH4E_t3m3xM,PT3M33S,213.0
60nDlMw5vFQ,PT4M33S,273.0
LDVXOo_HXKU,PT4M8S,248.0
_wS7seijyks,PT10M35S,635.0
jGyUVyp9w9g,PT4M56S,296.0
tr7I4vokl78,PT4M46S,286.0
B4mK5OElAFQ,PT23M47S,1427.0
Y1n8F4uClUU,PT12M25S,745.0
ctx4YBEdOxo,PT8M58S,538.0
dpeDxEb9yeg,PT3M10S,190.0
D818vkK10UQ,PT8M25S,505.0
FZiCWBplZ90,PT8M32S,512.0
nfbwPTsowEA,PT1M7S,67.0
JLOFZoBJnd8,PT14M,840.0
wJh-jurxmGQ,PT4M2S,242.0
MGanJGGVSrw,PT3M28S,208.0
UB1cGaIW81I,PT3M54S,234.0
iASe_veKR74,PT3M30S,210.0
KGziD2V8Ppw,PT5M45S,345.0
IeTTfquV0iE,PT2M41S,161.0
g3VgrgV3kFk,PT1M8S,68.0
fdpYWltgYMk,PT3M49S,229.0
aHsfKnrNCG4,PT24S,24.0
rO_mAQC9bv0,PT30S,30.0
aujUl3yt6nM,PT1M8S,68.0
xhBMUFDdiok,PT3M2S,182.0
oddXT5uaRb8,PT3M53S,233.0
D-DYWvnrFs8,PT1M57S,117.0
AZQvPibYXRo,PT8M28S,508.0
UhZ56rcWwRQ,PT2M25S,145.0
ai_UWoM37dI,PT8M44S,524.0
LymuZ8abvmc,PT6M59S,419.0
8mCcM-PUmLM,PT14M40S,880.0
8sAApdJdG3A,PT7M19S,439.0
0s6-iFoCFNQ,PT4M58S,298.0
XY5OYFc1tzU,PT1M39S,99.0
PliRMGvytnA,PT16M5S,965.0
A6-P1-xxF9Y,PT3H48M51S,13731.0
xnBtEib-H9E,PT6M51S,411.0
hLgIghY-FGc,PT16M52S,1012.0
9Tb3xPmr3yg,PT2M25S,145.0
NNywashg_mw,PT51S,51.0
5n9xafjynJA,PT9M11S,551.0
UrSxvUc5R6Q,PT37M59S,2279.0
Q11GPMvTxQE,PT11M26S,686.0
ssVrzoCgr_w,PT9M13S,553.0
wuEKwkTqdw4,PT1M56S,116.0
n47bRyBKjsw,PT7M16S,436.0
r15_6z9xryo,PT7M17S,437.0
fQvGSkTYJSE,PT7M46S,466.0
eKwAib6LosM,PT4M43S,283.0
KkhR9z6pAMs,PT1M2S,62.0
NSgMcs1KdTI,PT3M21S,201.0
5PB2YzNddI8,PT3M25S,205.0
YbHdBoHMxK4,PT3M23S,203.0
aHKzU_rXdw8,PT3M5S,185.0
WbYqfpnw7sE,PT2M52S,172.0
rutlOmdgqgI,PT3M46S,226.0
3k6RD9zVvpE,PT4M15S,255.0
-El8z4uy5Ac,PT7M49S,469.0
w2Es7-c9GAk,PT1M6S,66.0
B-PVT_rclnM,PT2M53S,173.0
6LuHS7ZeSjE,PT5M17S,317.0
R8hccXRk3MI,PT4M24S,264.0
wx-M8sxcOp8,PT8M31S,511.0
